date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Melaka,N.01 Tanjong Kling,1,11,Abdul Ghafar Bin Baba,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3247,86.5405117270789,1,won
1959-05-20,SE-01,Melaka,N.01 Tanjong Kling,2,952,Mohd Nor Bin Noordin,PAS,004-PAS,PAS,0,ALONE,505,13.459488272921108,2,lost
1959-05-20,SE-01,Melaka,N.02 Bukit Rambai,1,320,Hassan Bin Mansor,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2295,78.16757493188011,1,won
1959-05-20,SE-01,Melaka,N.02 Bukit Rambai,2,953,Azhari Bin Yusoff,PAS,004-PAS,PAS,0,ALONE,641,21.83242506811989,2,lost
1959-05-20,SE-01,Melaka,N.03 Batu Berendam,1,954,Mohd. Bin H. Abd. Rahman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2407,60.190047511877964,1,won
1959-05-20,SE-01,Melaka,N.03 Batu Berendam,2,955,Hasnul Bin Abdul Hadi,SF,010-PML,PML,2,SF,1592,39.80995248812203,2,lost
1959-05-20,SE-01,Melaka,N.04 Semabok,1,956,Bulat Bin Mohamed,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2782,73.46184314761025,1,won
1959-05-20,SE-01,Melaka,N.04 Semabok,2,957,Othman Bin Hujang,PAS,004-PAS,PAS,0,ALONE,1005,26.538156852389754,2,lost
1959-05-20,SE-01,Melaka,N.05 Kandang,1,958,Tawy Bin Hj. Abd. Hamid,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2847,71.44291091593476,1,won
1959-05-20,SE-01,Melaka,N.05 Kandang,2,959,Haji Md. Nor Bin Hj. Hasan,PAS,004-PAS,PAS,0,ALONE,1138,28.557089084065247,2,lost
1959-05-20,SE-01,Melaka,N.06 Kota Selatan,1,960,Liew Siat Yee (Miss),SF,005-LPM,LPM,2,SF,607,13.94120349104272,3,lost
1959-05-20,SE-01,Melaka,N.06 Kota Selatan,2,315,Tan Kee Gak,MP,011-MP,MP,0,ALONE,1746,40.10105649977033,2,lost
1959-05-20,SE-01,Melaka,N.06 Kota Selatan,3,961,Goh Joon Hoe,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2001,45.957740009186956,1,won
1959-05-20,SE-01,Melaka,N.07 Kota Tengah,1,962,Goh Chee Yan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1268,45.39921231650555,1,won
1959-05-20,SE-01,Melaka,N.07 Kota Tengah,2,321,Chung Cheng Wen,SF,005-LPM,LPM,2,SF,1000,35.80379520229145,2,lost
