state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Kedah,N.01 Ayer Hangat,Ayer Hangat,1,Azlina Binti Azinan,20486,PAS,4034
Kedah,N.01 Ayer Hangat,Ayer Hangat,2,Mohd Rawi Bin Abd Hamid,17613,BN,6018
Kedah,N.01 Ayer Hangat,Ayer Hangat,3,Juhari Bin Bulat,20488,PKR,7550
Kedah,N.02 Kuah,Kuah,1,Nor Saidi Bin Nanyan,19141,BN,5824
Kedah,N.02 Kuah,Kuah,2,Mazlan Bin Ahmad,16278,PAS,2685
Kedah,N.02 Kuah,Kuah,3,Mohamad Ratu B. Mansor.,20491,BEBAS,86
Kedah,N.02 Kuah,Kuah,4,Mohd Firdaus Bin Ahmad,20492,PKR,8276
Kedah,N.03 Kota Siputeh,Kota Siputeh,1,Ustaz Mohd Rejab Md Akhir,20493,PAS,5798
Kedah,N.03 Kota Siputeh,Kota Siputeh,2,Ahmad Azhar Bin Abdullah,20494,BN,5795
Kedah,N.03 Kota Siputeh,Kota Siputeh,3,Dr Salmee Said,20495,PKR,7265
Kedah,N.04 Ayer Hitam,Ayer Hitam,1,Cikgu Azhar,20496,PAS,9229
Kedah,N.04 Ayer Hitam,Ayer Hitam,2,Dato' Hj Abu Hasan Bin Sarif,19144,BN,7220
Kedah,N.04 Ayer Hitam,Ayer Hitam,3,Dato' Aziz Mohamod,20498,PKR,8692
Kedah,N.05 Bukit Kayu Hitam,Bukit Kayu Hitam,1,Habshah Binti Bakar,20499,PAS,6528
Kedah,N.05 Bukit Kayu Hitam,Bukit Kayu Hitam,2,Hajah Halimaton Shaadiah Binti Saad,20500,PKR,11027
Kedah,N.05 Bukit Kayu Hitam,Bukit Kayu Hitam,3,Dato' Haji Ahmad Zaini Japar,20501,BN,8874
Kedah,N.06 Jitra,Jitra,1,Zulhazmi Bin Osman,20502,PAS,7064
Kedah,N.06 Jitra,Jitra,2,Dato' Seri Hj Mukhriz Tun Mahathir,3288,PKR,18852
Kedah,N.06 Jitra,Jitra,3,Dato' Aminuddin Bin Omar (Pak Tam),20504,BN,8003
Kedah,N.07 Kuala Nerang,Kuala Nerang,1,Hj. Munir Bin Hj. Zakaria,16287,PAS,9118
Kedah,N.07 Kuala Nerang,Kuala Nerang,2,Pak Tuan Syed Fadzil,20506,PKR,3376
Kedah,N.07 Kuala Nerang,Kuala Nerang,3,Dato' Hj Badrol Hisham Bin Hashim,20507,BN,7499
Kedah,N.08 Pedu,Pedu,1,Hj Mohd Radzi Bin Md Amin,20508,PAS,8164
Kedah,N.08 Pedu,Pedu,2,Hashim Bin Idris,20509,PKR,3272
Kedah,N.08 Pedu,Pedu,3,Kama Noriah Binti Ibrahim,19155,BN,7494
Kedah,N.09 Bukit Lada,Bukit Lada,1,Mohd Aizad Bin Roslan,20511,PRM,6337
Kedah,N.09 Bukit Lada,Bukit Lada,2,Dato' Ariffin Bin Man,17630,BN,8288
Kedah,N.09 Bukit Lada,Bukit Lada,3,Dato' Hj. Mohd. Ismail Bin Hj. Othman.,20513,BEBAS,444
Kedah,N.09 Bukit Lada,Bukit Lada,4,Ustaz Salim Mahmood Al-Hafiz,20514,PAS,9573
Kedah,N.10 Bukit Pinang,Bukit Pinang,1,Dr. Mohammad Nawar Bin Ariffin,20515,BN,6289
Kedah,N.10 Bukit Pinang,Bukit Pinang,2,Dzaher Ahmad,20516,PKR,7220
Kedah,N.10 Bukit Pinang,Bukit Pinang,3,Wan Romani Wan Salim,20517,PAS,10432
Kedah,N.11 Derga,Derga,1,Dr. Cheah Soon Hai,17633,BN,4916
Kedah,N.11 Derga,Derga,2,Tuan Haji Yahya Saad,20519,PAS,5967
Kedah,N.11 Derga,Derga,3,Tan Kok Yew,19161,PKR,11232
Kedah,N.12 Suka Menanti,Suka Menanti,1,Mohd Sabri Bin Omar,14218,PAS,4580
Kedah,N.12 Suka Menanti,Suka Menanti,2,Ahmad Bashah Bin Md Hanipah,13848,BN,7050
Kedah,N.12 Suka Menanti,Suka Menanti,3,Zamri Yusuf,2942,PKR,13301
Kedah,N.13 Kota Darul Aman,Kota Darul Aman,1,Haji Zulkifli Bin Che Haron,20524,PAS,1732
Kedah,N.13 Kota Darul Aman,Kota Darul Aman,2,Tan Eng Hwa,20525,BN,3269
Kedah,N.13 Kota Darul Aman,Kota Darul Aman,3,Teh Swee Leong,20526,PKR,11737
Kedah,N.13 Kota Darul Aman,Kota Darul Aman,4,Tan Kang Yap,20527,PRM,32
Kedah,N.14 Alor Mengkudu,Alor Mengkudu,1,Ustaz Ahmad Yahaya,20528,PAS,6964
Kedah,N.14 Alor Mengkudu,Alor Mengkudu,2,Abdul Malik Bin Saad,20529,BN,6434
Kedah,N.14 Alor Mengkudu,Alor Mengkudu,3,Dato' Hj Phahrolrazi Zawawi,20530,PKR,8840
Kedah,N.15 Anak Bukit,Anak Bukit,1,Hamdi Haji Ishak,20531,PAS,8231
Kedah,N.15 Anak Bukit,Anak Bukit,2,Johari Bin Aziz,20532,BN,5200
Kedah,N.15 Anak Bukit,Anak Bukit,3,Dato' Amiruddin Hamzah,20533,PKR,9810
Kedah,N.16 Kubang Rotan,Kubang Rotan,1,Ustaz Omar Bin Saad,20534,PAS,7303
Kedah,N.16 Kubang Rotan,Kubang Rotan,2,Abdul Muthalib Bin Harun,16303,BN,7469
Kedah,N.16 Kubang Rotan,Kubang Rotan,3,Asmirul Anuar B. Aris,20536,PKR,14004
Kedah,N.17 Pengkalan Kundor,Pengkalan Kundor,1,Ustaz Dr. Ahmad Fakhruddin Bin Fakhrurazi,19205,PAS,9088
